Chr;start;end;label
Chr1;1;4347;DNA polymerase
Chr1;9603;11168;lef-4
Chr1;11192;12403;LbFV_orf102-like
Chr1;14434;16587;lef-9
Chr1;17639;19216;JmjC
Chr1;20097;23258;lef-8
Chr1;28625;29461;p33
Chr1;36619;42300;LbFV_orf92-like
Chr1;42473;43396;LbFV_orf94-like
Chr1;43440;43721;LbFV_orf23-like
Chr1;44954;45418;LbFV_orf54-like
Chr1;45455;46126;pif-3
Chr1;47508;49124;ATPase
Chr1;63666;64994;PD-(D/E)XK
Chr1;65212;66699;lef-5
Chr1;66581;67348;Ac38
Chr1;67661;68875;LbFV_orf20-like
Chr1;72882;74927;pif-1
Chr1;81715;82323;38K
Chr1;86041;89190;JmjC
Chr1;90256;92523;p74
Chr1;98710;101007;helicase2
Chr1;101513;102514;integrase
Chr1;104284;105231;LbFV_orf99-like
Chr1;105264;105458;p6.9
Chr1;105500;106252;Ac81
Chr1;114244;115392;LCAT
Chr1;115421;116551;pif-2
Chr1;127124;128281;pif-5
Chr1;128343;130352;LbFV_orf5-like
Chr1;130603;131202;LbFV_orf87-like
