Chr;start;end;group
Chr1;5751;6013;a
Chr1;5753;6015;a
Chr1;11989;12251;a
Chr1;11991;12253;a
Chr1;11992;12254;a
Chr1;11993;12255;a
Chr1;20466;20728;a
Chr1;20468;20730;a
Chr1;20470;20732;a
Chr1;34452;34714;b
Chr1;34453;34715;b
Chr1;34455;34717;b
Chr1;34456;34718;b
Chr1;34935;35197;b
Chr1;34937;35199;b
Chr1;49791;50053;a
Chr1;49793;50055;a
Chr1;49795;50057;a
Chr1;57175;57437;b
Chr1;57177;57439;b
Chr1;57179;57441;b
Chr1;63500;63762;b
Chr1;63504;63766;b
Chr1;71088;71350;a
Chr1;71089;71351;a
Chr1;71090;71352;a
Chr1;77800;78062;a
Chr1;77801;78063;a
Chr1;97705;97967;a
Chr1;97707;97969;a
Chr1;97709;97971;a
Chr1;98216;98478;a
Chr1;98218;98480;a
Chr1;98220;98482;a
