Chr;start;end;group
Chr1;1;3837;b
Chr1;3848;5743;a
Chr1;5921;6151;a
Chr1;6072;6437;b
Chr1;6476;6766;a
Chr1;6776;7981;a
Chr1;7996;9159;b
Chr1;9156;9653;a
Chr1;9745;10329;a
Chr1;10332;11123;a
Chr1;11151;11831;b
Chr1;11841;12020;b
Chr1;12253;13191;a
Chr1;13178;14218;b
Chr1;14262;14891;b
Chr1;14836;15558;b
Chr1;15578;20467;b
Chr1;20645;21085;a
Chr1;21066;22082;a
Chr1;22075;27147;b
Chr1;27190;27372;a
Chr1;27787;30066;a
Chr1;30123;31046;b
Chr1;31043;31276;a
Chr1;31290;31892;a
Chr1;31894;32223;a
Chr1;32231;32701;a
Chr1;32661;33230;b
Chr1;33407;33892;a
Chr1;33879;34103;a
Chr1;34161;34454;b
Chr1;35345;35785;a
Chr1;35899;37290;a
Chr1;37336;37506;a
Chr1;38183;38365;b
Chr1;38618;40531;b
Chr1;40481;40756;a
Chr1;40755;41651;b
Chr1;41747;42016;b
Chr1;42428;42850;a
Chr1;42829;44433;a
Chr1;44468;45715;b
Chr1;45712;46218;a
Chr1;46506;46862;a
Chr1;46944;48386;a
Chr1;48449;49753;b
Chr1;49869;50123;a
Chr1;50110;50289;a
Chr1;50516;50785;a
Chr1;50881;51429;b
Chr1;51410;51967;a
Chr1;51954;52604;b
Chr1;52601;55507;a
Chr1;55596;56624;a
Chr1;56753;57022;b
Chr1;57416;59146;a
Chr1;59150;60673;a
Chr1;60675;62684;a
Chr1;62653;63441;a
Chr1;63715;64275;a
Chr1;64353;64652;b
Chr1;64649;65224;a
Chr1;65169;65888;b
Chr1;65876;68032;b
Chr1;67729;68724;a
Chr1;68694;68993;a
Chr1;68938;69174;b
Chr1;69148;69723;a
Chr1;69726;71045;a
Chr1;71517;71732;b
Chr1;71800;72855;a
Chr1;72854;73888;b
Chr1;73856;74731;a
Chr1;74730;75833;b
Chr1;75794;76156;a
Chr1;76196;76351;a
Chr1;76512;77285;b
Chr1;77223;77693;a
Chr1;77428;77829;b
Chr1;79136;79768;a
Chr1;79814;81286;a
Chr1;81321;82058;b
Chr1;82060;82680;a
Chr1;82677;83282;a
Chr1;83303;83584;a
Chr1;83972;84418;a
Chr1;84511;84666;b
Chr1;84678;86822;b
Chr1;87111;87650;b
Chr1;87654;88025;b
Chr1;88241;88519;a
Chr1;88458;88625;b
Chr1;88724;89377;a
Chr1;89355;91643;a
Chr1;91674;92060;a
Chr1;92062;93129;a
Chr1;93171;94025;a
Chr1;94004;94576;a
Chr1;94398;96314;b
Chr1;96450;97460;b
Chr1;98284;98445;a
Chr1;98590;98739;b
Chr1;99067;100584;b
